Profile Summary for flash Attention\n==================================================\n\n-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                        torch::autograd::AccumulateGrad         0.86%     714.006us         2.25%       1.872ms       6.239us       0.000us         0.00%     381.343us       1.271us           0 b           0 b    -176.00 Mb    -176.00 Mb           300  
                                              aten::mul         0.53%     438.913us         1.06%     882.353us      17.647us     328.318us         0.32%     328.318us       6.566us           0 b           0 b     200.00 Mb     200.00 Mb            50  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     328.318us         0.32%     328.318us       6.566us           0 b           0 b           0 b           0 b            50  
                                            aten::fill_         0.56%     470.243us         1.30%       1.087ms      10.866us     318.330us         0.31%     318.330us       3.183us           0 b           0 b           0 b           0 b           100  
                                            aten::zero_         0.18%     149.259us         0.75%     621.622us      12.432us       0.000us         0.00%     228.574us       4.571us           0 b           0 b           0 b           0 b            50  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     228.574us         0.22%     228.574us       4.571us           0 b           0 b           0 b           0 b            50  
                                       aten::contiguous         0.08%      63.873us         1.33%       1.106ms      22.129us       0.000us         0.00%     202.654us       4.053us           0 b           0 b       3.12 Mb           0 b            50  
                                           Unrecognized         2.14%       1.782ms         2.14%       1.782ms       1.782ms     108.096us         0.11%     108.096us     108.096us           0 b           0 b           0 b           0 b             1  
                                        aten::ones_like         0.17%     144.038us         1.41%       1.172ms      23.441us       0.000us         0.00%      89.756us       1.795us           0 b           0 b      25.00 Kb           0 b            50  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      89.756us         0.09%      89.756us       1.795us           0 b           0 b           0 b           0 b            50  
                                                aten::t         2.59%       2.158ms         5.90%       4.912ms       4.912us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          1000  
                                        aten::transpose         5.38%       4.482ms         7.15%       5.950ms       2.903us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          2050  
                                       aten::as_strided         1.91%       1.590ms         1.91%       1.590ms       0.723us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          2200  
                                          aten::reshape         1.58%       1.313ms         3.29%       2.738ms       3.423us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           800  
                                             aten::view         2.51%       2.090ms         2.51%       2.090ms       1.990us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          1050  
                                        cudaMemsetAsync         2.43%       2.024ms         2.43%       2.024ms       5.783us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           350  
          cudaOccupancyMaxActiveBlocksPerMultiprocessor         0.46%     385.328us         0.46%     385.328us       0.963us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           400  
                                       cudaLaunchKernel        10.43%       8.688ms        10.43%       8.688ms       6.683us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          1300  
                                     aten::_unsafe_view         0.50%     418.092us         0.50%     418.092us       2.787us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           150  
                                  cudaStreamIsCapturing         0.20%     163.906us         0.20%     163.906us       0.820us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           200  
                                    aten::scalar_tensor         0.25%     209.276us         0.25%     209.276us       2.093us       0.000us         0.00%       0.000us       0.000us         800 b         800 b           0 b           0 b           100  
                                            aten::empty         2.75%       2.291ms         2.75%       2.291ms       4.583us       0.000us         0.00%       0.000us       0.000us           0 b           0 b       1.42 Gb       1.42 Gb           500  
                                               [memory]         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b    -400.15 Mb    -400.15 Mb           400  
                                       aten::empty_like         0.56%     468.188us         1.73%       1.437ms       7.184us       0.000us         0.00%       0.000us       0.000us           0 b           0 b     403.15 Mb           0 b           200  
                                    aten::empty_strided         0.35%     291.712us         0.35%     291.712us       5.834us       0.000us         0.00%       0.000us       0.000us           0 b           0 b      25.00 Kb      25.00 Kb            50  
      autograd::engine::evaluate_function: SumBackward0         0.34%     282.922us         0.79%     656.308us      13.126us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            50  
                                           SumBackward0         0.14%     117.290us         0.45%     373.386us       7.468us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            50  
                                           aten::expand         0.24%     201.094us         0.31%     256.096us       5.122us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            50  
                                          ViewBackward0         0.91%     758.080us         2.75%       2.291ms       5.092us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           450  
                                   aten::_reshape_alias         0.11%      93.153us         0.11%      93.153us       1.863us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            50  
                                           aten::detach         0.31%     261.894us         0.78%     648.703us       2.595us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           250  
                                                 detach         0.46%     386.809us         0.46%     386.809us       1.547us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           250  
        autograd::engine::evaluate_function: TBackward0         1.00%     834.902us         2.53%       2.109ms      10.547us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           200  
                                             TBackward0         0.35%     290.153us         1.53%       1.274ms       6.372us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           200  
autograd::engine::evaluate_function: TransposeBackwa...         1.02%     847.764us         2.21%       1.838ms       9.188us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           200  
                                     TransposeBackward0         0.34%     286.074us         1.19%     989.754us       4.949us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           200  
                                               aten::to         0.02%      18.120us         0.02%      18.120us       0.181us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           100  
                                   cudaFuncSetAttribute         0.06%      49.773us         0.06%      49.773us       0.995us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            50  
                                  cudaFuncGetAttributes         0.18%     152.717us         0.18%     152.717us       3.054us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            50  
autograd::engine::evaluate_function: UnsafeViewBackw...         0.72%     595.821us         1.45%       1.210ms       8.063us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           150  
                                    UnsafeViewBackward0         0.25%     208.084us         0.74%     613.704us       4.091us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           150  
                                  cudaDeviceSynchronize        17.63%      14.683ms        17.63%      14.683ms      14.683ms       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 83.269ms
Self CUDA time total: 102.412ms
