Profile Summary for standard Attention\n==================================================\n\n-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
void at::native::(anonymous namespace)::fused_dropou...         0.00%       0.000us         0.00%       0.000us       0.000us       3.217ms         2.33%       3.217ms      64.336us           0 b           0 b           0 b           0 b            50  
autograd::engine::evaluate_function: NativeDropoutBa...         0.28%     316.899us         1.49%       1.652ms      33.040us       0.000us         0.00%       2.884ms      57.687us           0 b           0 b    -400.00 Mb      -1.95 Gb            50  
                                 NativeDropoutBackward0         0.12%     129.267us         1.20%       1.335ms      26.702us       0.000us         0.00%       2.884ms      57.687us           0 b           0 b       1.56 Gb           0 b            50  
                          aten::native_dropout_backward         0.40%     444.379us         1.08%       1.206ms      24.117us       2.884ms         2.09%       2.884ms      57.687us           0 b           0 b       1.56 Gb           0 b            50  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       2.884ms         2.09%       2.884ms      57.687us           0 b           0 b           0 b           0 b            50  
                                          aten::softmax         0.09%     104.266us         0.84%     938.829us      18.777us       0.000us         0.00%       2.591ms      51.817us           0 b           0 b       1.56 Gb           0 b            50  
                                         aten::_softmax         0.50%     557.218us         0.75%     834.563us      16.691us       2.591ms         1.87%       2.591ms      51.817us           0 b           0 b       1.56 Gb       1.56 Gb            50  
void (anonymous namespace)::softmax_warp_forward<flo...         0.00%       0.000us         0.00%       0.000us       0.000us       2.591ms         1.87%       2.591ms      51.817us           0 b           0 b           0 b           0 b            50  
      autograd::engine::evaluate_function: DivBackward0         0.28%     311.586us         1.14%       1.268ms      25.363us       0.000us         0.00%       2.408ms      48.162us        -400 b        -400 b           0 b      -1.56 Gb            50  
                                           DivBackward0         0.13%     139.399us         0.86%     956.550us      19.131us       0.000us         0.00%       2.408ms      48.162us           0 b           0 b       1.56 Gb           0 b            50  
     autograd::engine::evaluate_function: ViewBackward0         2.46%       2.741ms         9.14%      10.171ms      20.341us       0.000us         0.00%       1.575ms       3.149us           0 b           0 b    -400.00 Mb   -1000.00 Mb           500  
autograd::engine::evaluate_function: UnsafeViewBackw...         1.70%       1.886ms         6.51%       7.237ms      18.092us       0.000us         0.00%       1.351ms       3.377us           0 b           0 b           0 b    -400.00 Mb           400  
                                    UnsafeViewBackward0         0.65%     720.122us         4.81%       5.351ms      13.379us       0.000us         0.00%       1.351ms       3.377us           0 b           0 b     400.00 Mb           0 b           400  
                                              aten::sum         1.64%       1.826ms         2.55%       2.836ms      28.363us       1.034ms         0.75%       1.034ms      10.340us           0 b           0 b     125.00 Kb     125.00 Kb           100  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     976.489us         0.71%     976.489us       6.510us           0 b           0 b           0 b           0 b           150  
                                          ViewBackward0         0.75%     839.253us         5.27%       5.861ms      11.722us       0.000us         0.00%     956.102us       1.912us           0 b           0 b     400.00 Mb           0 b           500  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     922.216us         0.67%     922.216us       9.222us           0 b           0 b           0 b           0 b           100  
                                        Memset (Device)         0.00%       0.000us         0.00%       0.000us       0.000us     812.678us         0.59%     812.678us       2.322us           0 b           0 b           0 b           0 b           350  
                                             aten::add_         0.55%     615.887us         1.10%       1.221ms      12.211us     626.568us         0.45%     626.568us       6.266us           0 b           0 b           0 b           0 b           100  
                                       aten::contiguous         0.06%      63.837us         1.22%       1.352ms      27.039us       0.000us         0.00%     455.428us       9.109us           0 b           0 b     200.00 Mb           0 b            50  
autograd::engine::evaluate_function: torch::autograd...         1.08%       1.201ms         2.96%       3.295ms      10.984us       0.000us         0.00%     357.890us       1.193us           0 b           0 b    -200.00 Mb     -44.00 Mb           300  
